disorganized	неорганизованный_ADJ
polished	изысканный_ADJ
sage	мудрый_ADJ
tense	напряженный_ADJ
caring	заботливый_ADJ
suspicious	подозрительный_ADJ
sober	трезвый_ADJ
disturbing	тревожный_ADJ
passionate	страстный_ADJ
crazy	псих_NOUN
fearful	испуганный_ADJ
daring	отважный_ADJ
prudent	предусмотрительный_ADJ
demanding	требовательный_ADJ
impatient	нетерпеливый_ADJ
cerebral	рассудительный_ADJ
calculating	расчетливый_ADJ
amusing	забавный_ADJ
honorable	почтенный_ADJ
casual	обычный_ADJ
sharing	щедрый_ADJ
ruined	испортить_VERB
spontaneous	спонтанный_ADJ
admirable	замечательный_ADJ
conventional	общепринятый_ADJ
cheerful	веселый_ADJ
solitary	уединенный_ADJ
upright	честный_ADJ
enthusiastic	восторженный_ADJ
petty	ничтожный_ADJ
dirty	грязный_ADJ
subjective	субъективный_ADJ
heroic	героический_ADJ
stupid	дурной_ADJ
modest	скромный_ADJ
impressive	впечатляющий_ADJ
orderly	опрятный_ADJ
ambitious	честолюбивый_ADJ
protective	покровительственно_ADV
silly	глупый_ADJ
destructive	разрушительный_ADJ
exciting	увлекательный_ADJ
crude	примитивный_ADJ
ridiculous	чудаковатый_ADJ
mature	зрелый_ADJ
passive	пассивный_ADJ
oppressed	угнетенный_ADJ
accessible	доступный_ADJ
charming	обаятельный_ADJ
clever	умный_ADJ
decent	порядочный_ADJ
miserable	несчастный_ADJ
superficial	поверхностный_ADJ
stern	суровый_ADJ
emotional	эмоциональный_ADJ
rigid	косный_ADJ
invisible	незаметный_ADJ
desperate	отчаянный_ADJ
romantic	романтик_NOUN
agreeable	приятный_ADJ
hurried	поспешный_ADJ
sympathetic	симпатичный_ADJ
solemn	торжественный_ADJ
systematic	систематический_ADJ
vague	непонятный_ADJ
peaceful	мирный_ADJ
humble	смиренный_ADJ
expedient	целесообразный_ADJ
loyal	лояльный_ADJ
decisive	решительный_ADJ
arbitrary	произвольный_ADJ
earnest	серьезность_NOUN
confident	уверенный_ADJ
conservative	консервативный_ADJ
moderate	умеренный_ADJ
helpful	полезный_ADJ
delicate	деликатный_ADJ
gentle	нежный_ADJ
dedicated	преданный_ADJ
hostile	враждебный_ADJ
precise	точный_ADJ
healthy	здоровый_ADJ
artificial	искусственный_ADJ
progressive	прогресс_NOUN
odd	странный_ADJ
confused	смущенный_ADJ
rational	рациональный_ADJ
brilliant	гениальный_ADJ
intense	пылкий_ADJ
genuine	подлинный_ADJ
mistaken	ошибочный_ADJ
driving	движущий_ADJ
stable	прочный_ADJ
objective	объективный_ADJ
sensitive	чувствительный_ADJ
neutral	нейтральный_ADJ
strict	строгий_ADJ
profound	глубокомысленный_ADJ
ignorant	невежественный_ADJ
logical	логичный_ADJ
extraordinary	необычный_ADJ
experimental	любознательный_ADJ
formal	формальный_ADJ
curious	любопытный_ADJ
busy	занятый_ADJ
liberal	либеральный_ADJ
friendly	дружелюбный_ADJ
efficient	эффективный_ADJ
sweet	милый_ADJ
surprising	удивительный_ADJ
mechanical	механический_ADJ
clean	чистый_ADJ
critical	критический_ADJ
criminal	преступный_ADJ
proud	гордый_ADJ
quiet	тихий_ADJ
solid	твердый_ADJ
complex	сложный_ADJ
grand	величественный_ADJ
warm	теплый_ADJ
slow	медленный_ADJ
false	ложный_ADJ
extreme	крайний_ADJ
narrow	ограниченный_ADJ
dependent	зависимый_ADJ
organized	организованный_ADJ
directed	целенаправленный_ADJ
obvious	очевидный_ADJ
popular	популярный_ADJ
capable	способный_ADJ
secure	безопасный_ADJ
independent	независимый_ADJ
practical	практичный_ADJ
serious	серьезный_ADJ
fair	справедливый_ADJ
constant	статичный_ADJ
responsible	ответственный_ADJ
religious	религиозный_ADJ
simple	простой_ADJ
physical	физический_ADJ
original	оригинальный_ADJ
working	работящий_ADJ
strong	сильный_ADJ
modern	современный_ADJ
determined	определенный_ADJ
open	открытый_ADJ
political	политический_ADJ
difficult	трудный_ADJ
knowledge	знание_NOUN
kind	добрый_ADJ
